Title,Votes
Joker,26178
Avengers: Endgame,26074
Parasite,18743
Spider-Man: Far From Home,15926
Captain Marvel,15894
Once Upon a Time... in Hollywood,13700
Knives Out,12670
1917,12615
John Wick: Chapter 3 - Parabellum,10834
The Lion King,10241
---,
1917,12615
Avengers: Endgame,26074
Captain Marvel,15894
John Wick: Chapter 3 - Parabellum,10834
Joker,26178
Knives Out,12670
Once Upon a Time... in Hollywood,13700
Parasite,18743
Spider-Man: Far From Home,15926
The Lion King,10241
---,
1917,12615
Avengers: Endgame,26074
Captain Marvel,15894
John Wick: Chapter 3 - Parabellum,10834
Joker,26178
Knives Out,12670
The Lion King,10241
Once Upon a Time... in Hollywood,13700
Parasite,18743
Spider-Man: Far From Home,15926
